,channel1,channel2
675,1663846743940.0,7717.0
676,1663846743940.0,7717.0
677,1663846743940.0,7717.0
678,1663846743940.0,7717.0
679,1663846743940.0,7717.0
680,1663846743940.0,7717.0
681,1663846743940.0,7717.0
682,1663846743940.0,7717.0
683,1663846753940.0,7962.0
684,1663846753940.0,7962.0
685,1663846753940.0,7962.0
686,1663846753940.0,7962.0
687,1663846753940.0,7962.0
688,1663846753940.0,7962.0
689,1663846753940.0,7962.0
690,1663846753940.0,7962.0
691,1663846753940.0,7962.0
692,1663846753940.0,7962.0
693,1663846763940.0,7763.0
694,1663846763940.0,7763.0
695,1663846763940.0,7763.0
696,1663846763940.0,7763.0
697,1663846763940.0,7763.0
698,1663846763940.0,7763.0
699,1663846763940.0,7763.0
700,1663846763940.0,7763.0
701,1663846763940.0,7763.0
702,1663846773940.0,7738.0
703,1663846773940.0,7738.0
704,1663846773940.0,7738.0
705,1663846773940.0,7738.0
706,1663846773940.0,7738.0
707,1663846773940.0,7738.0
708,1663846773940.0,7738.0
709,1663846773940.0,7738.0
710,1663846773940.0,7738.0
711,1663846773940.0,7738.0
712,1663846783940.0,7748.0
713,1663846783940.0,7748.0
714,1663846783940.0,7748.0
715,1663846783940.0,7748.0
716,1663846783940.0,7748.0
717,1663846783940.0,7748.0
718,1663846783940.0,7748.0
719,1663846783940.0,7748.0
720,1663846783940.0,7748.0
721,1663846783940.0,7748.0
722,1663846793940.0,7699.0
723,1663846793940.0,7699.0
724,1663846793940.0,7699.0
725,1663846793940.0,7699.0
726,1663846793940.0,7699.0
727,1663846793940.0,7699.0
728,1663846793940.0,7699.0
729,1663846793940.0,7699.0
730,1663846793940.0,7699.0
731,1663846793940.0,7699.0
732,1663846803940.0,7710.0
733,1663846803940.0,7710.0
